name,symbol,token_id,price,market_cap,volume_24h,change_24h,total_supply,icon
Gains Network,GNS,483,1.996018289173119,66641339.084312,2285941.88994975,3.32337297,33387138.50759313,https://s2.coinmarketcap.com/static/img/coins/64x64/13663.png
CoinEx Token,CET,484,0.09337398554169817,66167941.859819,194218.27280207,-0.27543293,708633582.211935,https://s2.coinmarketcap.com/static/img/coins/64x64/2941.png
Everscale,EVER,485,0.03327807083361399,66074391.07579989,182523.15617994,-3.75639523,1985523482.0,https://s2.coinmarketcap.com/static/img/coins/64x64/7505.png
Landwolf 0x67,WOLF,486,7.306388067295637e-05,65915274.432252966,1403041.41706093,23.19134601,902159505150.0,https://s2.coinmarketcap.com/static/img/coins/64x64/30902.png
Myria,MYRIA,487,0.002769957486380999,65832833.93950135,1176968.9590779,14.21577514,23766730812.0,https://s2.coinmarketcap.com/static/img/coins/64x64/22289.png
ArbDoge AI,AIDOGE,488,3.75704464248073e-10,65543859.29258479,7022246.75262554,15.32192546,1.74455896934211e+17,https://s2.coinmarketcap.com/static/img/coins/64x64/24477.png
TARS AI,TAI,489,0.12025698719053075,65345285.8339049,2703813.31563309,6.63184002,543380367.0,https://s2.coinmarketcap.com/static/img/coins/64x64/20605.png
BENQI,QI,490,0.013260978452321043,65231745.96251176,1928443.41919789,5.07228427,4919074878.0,https://s2.coinmarketcap.com/static/img/coins/64x64/9288.png
Acala Token,ACA,491,0.059792144645147684,64575515.91779877,3819752.63315202,5.44739496,1079999995.0,https://s2.coinmarketcap.com/static/img/coins/64x64/6756.png
XPLA,XPLA,492,0.09231118806650201,64161133.982576944,264021.26616278,2.15292238,695052629.3341013,https://s2.coinmarketcap.com/static/img/coins/64x64/22359.png
LeverFi,LEVER,493,0.0019155701565150747,64136521.05922483,3783770.69283936,5.36623705,33481687340.4971,https://s2.coinmarketcap.com/static/img/coins/64x64/20873.png
MARBLEX,MBX,494,0.36684398295968074,63682671.568957165,846492.90346209,0.70122822,173596064.06834927,https://s2.coinmarketcap.com/static/img/coins/64x64/18895.png
Milady Meme Coin,LADYS,496,8.65312050026112e-08,63545576.903247714,4110035.08224847,11.3248178,734366023232083.0,https://s2.coinmarketcap.com/static/img/coins/64x64/25023.png
